subpop1,subpop2,subpop3,subpop4
ṇo,ṇo,sim,sim
sim,sim,sim,ṇo
ṇo,ṇo,sim,ṇo
ṇo,ṇo,sim,talvez
sim,sim,sim,ṇo
sim,ṇo,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,sim
ṇo,sim,sim,ṇo
sim,sim,sim,talvez
sim,sim,talvez,sim
sim,sim,sim,talvez
sim,sim,sim,ṇo
ṇo,sim,sim,talvez
sim,sim,sim,talvez
sim,ṇo,talvez,sim
sim,ṇo,sim,talvez
sim,talvez,sim,talvez
sim,sim,sim,talvez
ṇo,sim,sim,ṇo
ṇo,sim,talvez,talvez
sim,talvez,sim,ṇo
ṇo,sim,sim,talvez
sim,ṇo,sim,talvez
sim,sim,sim,talvez
ṇo,ṇo,sim,talvez
ṇo,sim,sim,ṇo
sim,sim,sim,talvez
sim,sim,sim,ṇo
ṇo,ṇo,sim,sim
ṇo,ṇo,sim,ṇo
sim,sim,sim,talvez
ṇo,sim,sim,talvez
sim,talvez,sim,sim
sim,sim,sim,sim
sim,ṇo,sim,sim
ṇo,sim,sim,talvez
sim,ṇo,sim,talvez
ṇo,talvez,sim,ṇo
ṇo,ṇo,talvez,sim
ṇo,sim,sim,sim
ṇo,ṇo,sim,ṇo
ṇo,sim,sim,talvez
sim,sim,ṇo,talvez
sim,ṇo,ṇo,ṇo
sim,ṇo,sim,talvez
sim,talvez,sim,talvez
sim,sim,sim,ṇo
sim,sim,sim,sim
sim,sim,sim,sim
sim,sim,sim,ṇo
talvez,ṇo,sim,ṇo
sim,sim,ṇo,ṇo
ṇo,talvez,ṇo,sim
talvez,sim,sim,ṇo
ṇo,talvez,sim,talvez
sim,sim,sim,talvez
ṇo,ṇo,sim,ṇo
sim,sim,ṇo,talvez
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,sim,sim,sim
sim,sim,sim,talvez
ṇo,ṇo,talvez,talvez
ṇo,sim,sim,talvez
talvez,sim,talvez,sim
sim,talvez,sim,talvez
ṇo,sim,ṇo,ṇo
sim,sim,sim,talvez
talvez,sim,talvez,talvez
ṇo,talvez,sim,talvez
sim,sim,sim,talvez
sim,talvez,sim,ṇo
ṇo,sim,sim,talvez
ṇo,sim,sim,talvez
ṇo,sim,sim,sim
talvez,sim,talvez,sim
ṇo,sim,talvez,sim
ṇo,sim,sim,sim
ṇo,sim,sim,talvez
sim,talvez,sim,talvez
ṇo,sim,sim,sim
sim,talvez,sim,ṇo
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
ṇo,ṇo,sim,talvez
sim,sim,sim,ṇo
ṇo,ṇo,sim,talvez
sim,sim,ṇo,ṇo
sim,sim,sim,ṇo
sim,ṇo,sim,sim
sim,ṇo,sim,talvez
ṇo,sim,sim,talvez
sim,talvez,sim,sim
talvez,sim,sim,talvez
ṇo,sim,ṇo,sim
sim,sim,sim,sim
sim,ṇo,sim,talvez
ṇo,ṇo,ṇo,talvez
talvez,talvez,ṇo,talvez
sim,sim,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,talvez
sim,ṇo,sim,ṇo
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
talvez,sim,sim,ṇo
ṇo,ṇo,sim,sim
sim,ṇo,sim,talvez
ṇo,ṇo,sim,talvez
ṇo,sim,sim,ṇo
sim,talvez,sim,ṇo
sim,ṇo,sim,talvez
ṇo,talvez,ṇo,talvez
ṇo,sim,talvez,ṇo
ṇo,talvez,sim,sim
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
sim,sim,ṇo,talvez
ṇo,ṇo,sim,ṇo
sim,sim,sim,talvez
talvez,talvez,sim,sim
sim,sim,sim,talvez
ṇo,sim,sim,sim
ṇo,ṇo,sim,talvez
sim,ṇo,sim,talvez
ṇo,sim,sim,talvez
ṇo,sim,sim,talvez
sim,talvez,sim,talvez
ṇo,sim,ṇo,talvez
ṇo,ṇo,talvez,sim
sim,talvez,sim,talvez
sim,ṇo,sim,ṇo
talvez,sim,sim,talvez
talvez,sim,sim,ṇo
sim,sim,sim,ṇo
ṇo,ṇo,sim,talvez
sim,sim,sim,talvez
ṇo,sim,sim,talvez
ṇo,talvez,sim,talvez
ṇo,sim,ṇo,ṇo
ṇo,ṇo,sim,talvez
sim,sim,sim,ṇo
ṇo,talvez,sim,talvez
sim,talvez,sim,talvez
ṇo,ṇo,talvez,talvez
sim,ṇo,sim,ṇo
talvez,ṇo,sim,talvez
sim,sim,sim,ṇo
sim,talvez,sim,sim
sim,talvez,ṇo,ṇo
ṇo,talvez,sim,ṇo
talvez,ṇo,sim,talvez
sim,talvez,sim,talvez
ṇo,ṇo,sim,ṇo
sim,ṇo,sim,sim
sim,talvez,sim,talvez
talvez,sim,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,ṇo
sim,ṇo,sim,sim
ṇo,ṇo,ṇo,sim
ṇo,talvez,sim,ṇo
ṇo,ṇo,sim,ṇo
ṇo,sim,sim,ṇo
sim,talvez,ṇo,sim
ṇo,ṇo,sim,talvez
ṇo,sim,sim,talvez
sim,sim,sim,talvez
ṇo,ṇo,sim,talvez
sim,ṇo,sim,ṇo
talvez,talvez,talvez,ṇo
ṇo,ṇo,sim,talvez
ṇo,sim,sim,ṇo
talvez,talvez,sim,sim
sim,ṇo,sim,sim
ṇo,ṇo,ṇo,talvez
ṇo,sim,talvez,ṇo
sim,sim,sim,talvez
ṇo,sim,sim,talvez
sim,sim,sim,talvez
ṇo,ṇo,sim,talvez
ṇo,talvez,ṇo,talvez
sim,sim,sim,ṇo
ṇo,talvez,sim,talvez
ṇo,ṇo,sim,talvez
ṇo,talvez,sim,talvez
sim,ṇo,sim,sim
ṇo,sim,sim,ṇo
sim,ṇo,sim,ṇo
sim,talvez,sim,talvez
talvez,talvez,ṇo,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,ṇo
sim,sim,sim,ṇo
sim,talvez,sim,sim
sim,talvez,sim,talvez
sim,sim,sim,ṇo
sim,ṇo,sim,ṇo
talvez,talvez,sim,sim
talvez,talvez,sim,sim
talvez,sim,talvez,talvez
ṇo,ṇo,sim,talvez
ṇo,sim,sim,talvez
sim,talvez,sim,talvez
sim,talvez,sim,ṇo
ṇo,talvez,talvez,talvez
sim,sim,sim,talvez
ṇo,ṇo,sim,sim
sim,ṇo,sim,talvez
sim,talvez,talvez,talvez
sim,sim,sim,talvez
sim,sim,talvez,talvez
ṇo,talvez,sim,sim
sim,ṇo,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,talvez
talvez,sim,sim,ṇo
sim,sim,sim,ṇo
sim,ṇo,sim,talvez
ṇo,ṇo,sim,ṇo
ṇo,ṇo,sim,talvez
talvez,talvez,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,talvez
ṇo,talvez,ṇo,ṇo
ṇo,sim,sim,talvez
ṇo,ṇo,ṇo,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,sim
sim,sim,sim,sim
sim,sim,sim,talvez
sim,ṇo,sim,sim
sim,talvez,talvez,ṇo
ṇo,ṇo,sim,ṇo
ṇo,sim,sim,sim
sim,ṇo,sim,talvez
sim,ṇo,sim,ṇo
sim,sim,ṇo,sim
sim,sim,ṇo,ṇo
sim,sim,sim,ṇo
ṇo,sim,ṇo,talvez
ṇo,talvez,ṇo,ṇo
sim,sim,sim,ṇo
ṇo,ṇo,talvez,sim
sim,ṇo,sim,talvez
talvez,sim,sim,ṇo
sim,sim,ṇo,sim
ṇo,ṇo,sim,talvez
sim,talvez,sim,sim
sim,sim,ṇo,ṇo
sim,sim,sim,talvez
talvez,sim,sim,talvez
sim,ṇo,sim,ṇo
sim,talvez,sim,sim
sim,ṇo,sim,sim
ṇo,ṇo,sim,ṇo
sim,sim,sim,ṇo
sim,sim,sim,talvez
sim,talvez,sim,ṇo
sim,sim,sim,talvez
ṇo,talvez,ṇo,talvez
ṇo,sim,sim,talvez
sim,ṇo,sim,talvez
sim,talvez,sim,talvez
ṇo,ṇo,sim,talvez
sim,ṇo,ṇo,talvez
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,sim,sim,talvez
sim,talvez,sim,ṇo
talvez,sim,sim,talvez
sim,ṇo,talvez,ṇo
sim,talvez,sim,talvez
talvez,sim,sim,sim
sim,talvez,sim,talvez
ṇo,talvez,sim,ṇo
talvez,sim,sim,ṇo
ṇo,sim,sim,sim
sim,ṇo,talvez,ṇo
sim,sim,sim,talvez
talvez,ṇo,ṇo,talvez
ṇo,ṇo,ṇo,sim
sim,sim,sim,talvez
ṇo,talvez,ṇo,ṇo
ṇo,talvez,sim,talvez
sim,sim,sim,talvez
ṇo,sim,ṇo,ṇo
sim,sim,sim,talvez
talvez,sim,sim,ṇo
sim,talvez,sim,talvez
sim,sim,sim,talvez
sim,sim,sim,ṇo
sim,talvez,sim,ṇo
sim,sim,sim,talvez
ṇo,ṇo,sim,sim
sim,ṇo,talvez,talvez
sim,sim,ṇo,talvez
ṇo,sim,sim,talvez
ṇo,sim,sim,talvez
sim,ṇo,sim,talvez
sim,sim,ṇo,talvez
sim,sim,sim,talvez
ṇo,talvez,sim,ṇo
sim,sim,sim,ṇo
sim,ṇo,ṇo,ṇo
sim,sim,sim,ṇo
ṇo,sim,sim,ṇo
sim,talvez,sim,talvez
sim,sim,sim,talvez
ṇo,sim,ṇo,talvez
ṇo,sim,sim,talvez
sim,sim,sim,talvez
sim,talvez,talvez,talvez
talvez,talvez,sim,talvez
sim,talvez,sim,talvez
sim,sim,sim,ṇo
sim,sim,sim,sim
sim,sim,sim,talvez
ṇo,ṇo,sim,ṇo
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,sim,sim,talvez
ṇo,sim,sim,ṇo
sim,talvez,sim,sim
ṇo,ṇo,sim,sim
ṇo,sim,ṇo,ṇo
talvez,sim,sim,ṇo
sim,ṇo,talvez,talvez
ṇo,ṇo,sim,talvez
ṇo,sim,sim,sim
ṇo,talvez,sim,talvez
sim,talvez,sim,talvez
sim,sim,sim,ṇo
sim,sim,sim,talvez
sim,sim,sim,ṇo
sim,sim,sim,sim
sim,talvez,sim,ṇo
sim,sim,sim,talvez
talvez,ṇo,sim,ṇo
sim,ṇo,ṇo,talvez
sim,sim,sim,talvez
ṇo,sim,sim,talvez
ṇo,talvez,sim,ṇo
sim,sim,sim,talvez
sim,ṇo,sim,sim
talvez,ṇo,sim,talvez
ṇo,sim,sim,talvez
ṇo,talvez,sim,talvez
ṇo,sim,sim,talvez
sim,sim,ṇo,talvez
sim,talvez,sim,talvez
sim,sim,sim,talvez
sim,sim,sim,talvez
sim,sim,ṇo,talvez
talvez,sim,sim,ṇo
ṇo,talvez,sim,ṇo
sim,sim,sim,sim
sim,ṇo,sim,ṇo
sim,talvez,sim,ṇo
ṇo,sim,sim,talvez
sim,sim,sim,talvez
sim,ṇo,sim,ṇo
ṇo,talvez,sim,ṇo
sim,sim,sim,talvez
sim,sim,ṇo,talvez
ṇo,ṇo,sim,talvez
sim,talvez,sim,talvez
sim,talvez,sim,talvez
sim,sim,sim,ṇo
sim,ṇo,sim,talvez
ṇo,sim,sim,talvez
ṇo,ṇo,sim,talvez
sim,ṇo,talvez,talvez
sim,talvez,sim,ṇo
sim,ṇo,sim,talvez
ṇo,sim,sim,talvez
ṇo,sim,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,ṇo
ṇo,sim,sim,talvez
sim,talvez,sim,sim
ṇo,sim,sim,ṇo
sim,sim,ṇo,ṇo
sim,ṇo,sim,sim
sim,sim,ṇo,talvez
ṇo,ṇo,ṇo,talvez
ṇo,sim,talvez,talvez
ṇo,sim,ṇo,talvez
sim,sim,talvez,talvez
sim,ṇo,ṇo,talvez
ṇo,sim,ṇo,talvez
talvez,ṇo,sim,talvez
sim,talvez,talvez,sim
sim,ṇo,sim,talvez
ṇo,sim,sim,ṇo
sim,sim,talvez,ṇo
talvez,sim,talvez,sim
ṇo,talvez,sim,ṇo
sim,talvez,sim,talvez
sim,talvez,sim,ṇo
sim,sim,sim,sim
ṇo,ṇo,talvez,talvez
talvez,talvez,sim,talvez
ṇo,talvez,ṇo,sim
ṇo,talvez,sim,talvez
ṇo,sim,ṇo,ṇo
ṇo,sim,sim,sim
ṇo,sim,ṇo,talvez
talvez,talvez,sim,ṇo
ṇo,sim,sim,ṇo
talvez,talvez,sim,talvez
sim,ṇo,sim,sim
ṇo,sim,talvez,talvez
sim,ṇo,sim,sim
ṇo,sim,sim,ṇo
sim,talvez,talvez,talvez
sim,ṇo,ṇo,talvez
ṇo,talvez,sim,talvez
sim,ṇo,sim,sim
ṇo,talvez,sim,talvez
ṇo,sim,sim,talvez
sim,sim,sim,ṇo
ṇo,sim,sim,ṇo
ṇo,ṇo,sim,sim
sim,ṇo,ṇo,talvez
sim,sim,sim,ṇo
sim,sim,sim,talvez
ṇo,sim,sim,talvez
sim,sim,sim,ṇo
sim,sim,ṇo,talvez
sim,sim,sim,sim
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
sim,sim,sim,talvez
sim,sim,sim,ṇo
talvez,ṇo,talvez,talvez
talvez,sim,ṇo,talvez
ṇo,sim,ṇo,talvez
sim,sim,sim,talvez
sim,sim,sim,talvez
sim,sim,sim,talvez
sim,talvez,sim,talvez
sim,talvez,sim,talvez
ṇo,sim,sim,ṇo
ṇo,ṇo,sim,talvez
ṇo,sim,sim,talvez
sim,ṇo,sim,sim
sim,ṇo,sim,sim
sim,ṇo,ṇo,ṇo
sim,sim,ṇo,sim
sim,ṇo,sim,sim
sim,sim,sim,talvez
sim,sim,sim,sim
sim,ṇo,sim,talvez
sim,ṇo,sim,sim
sim,ṇo,sim,sim
sim,ṇo,sim,talvez
sim,sim,sim,sim
sim,ṇo,talvez,talvez
talvez,sim,sim,talvez
sim,sim,sim,talvez
ṇo,ṇo,ṇo,talvez
sim,ṇo,ṇo,talvez
ṇo,sim,sim,sim
sim,ṇo,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,talvez,talvez
talvez,sim,sim,ṇo
sim,ṇo,sim,ṇo
ṇo,sim,sim,sim
sim,sim,sim,talvez
talvez,ṇo,ṇo,talvez
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
sim,sim,sim,talvez
talvez,ṇo,sim,talvez
ṇo,sim,sim,sim
sim,talvez,sim,talvez
ṇo,sim,sim,talvez
ṇo,sim,sim,talvez
sim,ṇo,ṇo,ṇo
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,talvez,sim,ṇo
sim,sim,ṇo,talvez
sim,sim,sim,sim
ṇo,ṇo,ṇo,sim
sim,ṇo,sim,talvez
sim,sim,sim,ṇo
talvez,talvez,sim,ṇo
ṇo,sim,sim,talvez
sim,ṇo,sim,ṇo
sim,sim,sim,sim
sim,ṇo,sim,talvez
ṇo,ṇo,sim,talvez
sim,ṇo,sim,sim
ṇo,sim,talvez,ṇo
sim,talvez,sim,talvez
ṇo,sim,sim,ṇo
talvez,ṇo,sim,sim
ṇo,ṇo,sim,talvez
sim,talvez,ṇo,talvez
ṇo,sim,talvez,sim
sim,sim,sim,ṇo
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,sim,sim,talvez
talvez,ṇo,sim,talvez
sim,sim,talvez,sim
ṇo,sim,sim,talvez
sim,sim,ṇo,sim
talvez,sim,sim,talvez
sim,sim,sim,talvez
sim,ṇo,sim,ṇo
sim,talvez,sim,talvez
sim,talvez,sim,sim
ṇo,sim,sim,talvez
sim,sim,sim,talvez
sim,sim,sim,talvez
sim,sim,talvez,talvez
ṇo,sim,sim,sim
sim,ṇo,sim,talvez
ṇo,talvez,ṇo,talvez
sim,ṇo,sim,talvez
talvez,talvez,sim,sim
sim,sim,sim,talvez
sim,talvez,sim,ṇo
ṇo,talvez,sim,ṇo
sim,sim,sim,talvez
talvez,ṇo,sim,ṇo
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
sim,ṇo,sim,ṇo
ṇo,talvez,ṇo,talvez
sim,sim,sim,talvez
sim,talvez,sim,talvez
sim,talvez,sim,talvez
sim,sim,sim,talvez
sim,ṇo,sim,ṇo
sim,sim,sim,sim
sim,talvez,sim,talvez
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,sim,ṇo,talvez
ṇo,sim,sim,talvez
ṇo,talvez,sim,ṇo
sim,talvez,sim,talvez
talvez,sim,sim,talvez
sim,talvez,talvez,talvez
sim,sim,sim,ṇo
sim,sim,sim,sim
talvez,ṇo,sim,talvez
ṇo,sim,sim,talvez
sim,talvez,sim,sim
ṇo,talvez,sim,talvez
ṇo,ṇo,sim,sim
sim,ṇo,talvez,talvez
ṇo,ṇo,sim,talvez
talvez,sim,sim,sim
ṇo,ṇo,talvez,talvez
talvez,talvez,sim,ṇo
sim,sim,talvez,sim
ṇo,ṇo,sim,ṇo
sim,sim,sim,talvez
ṇo,sim,sim,talvez
ṇo,talvez,sim,talvez
talvez,sim,sim,sim
ṇo,ṇo,sim,ṇo
sim,ṇo,sim,talvez
sim,talvez,sim,talvez
ṇo,sim,sim,sim
talvez,talvez,sim,talvez
sim,sim,sim,ṇo
sim,sim,sim,ṇo
sim,ṇo,sim,sim
sim,sim,sim,talvez
sim,sim,sim,ṇo
sim,ṇo,sim,talvez
sim,ṇo,talvez,ṇo
ṇo,talvez,ṇo,ṇo
sim,ṇo,sim,talvez
ṇo,sim,sim,sim
sim,sim,sim,talvez
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
sim,sim,sim,sim
ṇo,sim,sim,ṇo
talvez,ṇo,sim,talvez
ṇo,sim,ṇo,talvez
talvez,sim,sim,sim
sim,sim,sim,ṇo
sim,talvez,sim,talvez
sim,sim,sim,ṇo
sim,ṇo,sim,talvez
talvez,sim,sim,talvez
sim,ṇo,sim,ṇo
sim,sim,sim,talvez
sim,talvez,talvez,sim
talvez,sim,sim,ṇo
sim,sim,sim,ṇo
ṇo,talvez,sim,sim
ṇo,ṇo,sim,talvez
ṇo,talvez,sim,ṇo
ṇo,sim,sim,talvez
sim,ṇo,sim,ṇo
ṇo,ṇo,sim,ṇo
ṇo,ṇo,sim,talvez
sim,sim,sim,talvez
ṇo,sim,sim,ṇo
sim,ṇo,ṇo,ṇo
sim,sim,ṇo,talvez
sim,ṇo,sim,talvez
sim,sim,sim,ṇo
sim,sim,sim,talvez
sim,talvez,sim,ṇo
sim,ṇo,ṇo,ṇo
sim,ṇo,sim,talvez
sim,talvez,sim,talvez
ṇo,sim,sim,talvez
sim,sim,sim,sim
ṇo,sim,sim,ṇo
ṇo,sim,sim,talvez
sim,ṇo,sim,talvez
sim,ṇo,sim,sim
sim,talvez,sim,ṇo
ṇo,sim,sim,ṇo
sim,sim,sim,ṇo
sim,sim,sim,ṇo
sim,talvez,sim,talvez
ṇo,ṇo,sim,sim
sim,sim,talvez,talvez
ṇo,talvez,talvez,ṇo
sim,talvez,sim,sim
sim,sim,sim,ṇo
sim,sim,sim,sim
sim,sim,sim,talvez
sim,sim,sim,ṇo
ṇo,sim,sim,talvez
sim,ṇo,sim,sim
ṇo,ṇo,ṇo,sim
sim,ṇo,sim,ṇo
sim,ṇo,talvez,ṇo
sim,talvez,sim,talvez
sim,talvez,sim,ṇo
sim,ṇo,sim,talvez
ṇo,ṇo,sim,sim
ṇo,sim,sim,talvez
ṇo,talvez,ṇo,sim
ṇo,talvez,ṇo,talvez
sim,ṇo,sim,ṇo
sim,sim,sim,sim
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,ṇo,sim,talvez
talvez,sim,sim,sim
sim,ṇo,sim,talvez
talvez,sim,sim,sim
sim,ṇo,sim,talvez
ṇo,ṇo,sim,talvez
sim,sim,sim,talvez
ṇo,talvez,sim,sim
sim,sim,sim,talvez
sim,sim,sim,ṇo
ṇo,ṇo,ṇo,sim
ṇo,talvez,sim,talvez
ṇo,sim,sim,talvez
ṇo,ṇo,sim,ṇo
sim,ṇo,sim,talvez
ṇo,ṇo,sim,ṇo
talvez,talvez,sim,talvez
sim,ṇo,ṇo,sim
sim,sim,sim,talvez
ṇo,sim,sim,talvez
sim,sim,sim,sim
sim,ṇo,sim,talvez
ṇo,sim,sim,talvez
ṇo,talvez,ṇo,talvez
talvez,sim,sim,ṇo
ṇo,sim,talvez,ṇo
sim,ṇo,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,talvez
ṇo,ṇo,sim,ṇo
sim,sim,sim,talvez
ṇo,talvez,sim,sim
sim,sim,sim,talvez
ṇo,sim,sim,sim
sim,sim,sim,sim
ṇo,talvez,talvez,talvez
talvez,sim,sim,talvez
sim,sim,sim,talvez
sim,ṇo,sim,ṇo
sim,talvez,sim,ṇo
sim,sim,ṇo,talvez
sim,sim,sim,ṇo
sim,sim,sim,ṇo
ṇo,sim,sim,ṇo
sim,sim,sim,sim
sim,sim,sim,talvez
sim,sim,sim,talvez
sim,talvez,sim,talvez
sim,sim,sim,talvez
sim,sim,sim,talvez
ṇo,ṇo,sim,talvez
sim,ṇo,talvez,ṇo
ṇo,sim,sim,talvez
ṇo,ṇo,sim,ṇo
sim,talvez,talvez,talvez
ṇo,talvez,sim,ṇo
sim,ṇo,sim,talvez
talvez,ṇo,sim,talvez
ṇo,sim,sim,talvez
sim,talvez,sim,ṇo
talvez,sim,sim,talvez
sim,sim,talvez,talvez
sim,sim,sim,talvez
sim,ṇo,sim,sim
sim,ṇo,sim,ṇo
sim,sim,sim,sim
sim,sim,sim,talvez
sim,sim,sim,sim
sim,ṇo,sim,ṇo
sim,sim,sim,ṇo
ṇo,talvez,sim,talvez
ṇo,sim,sim,ṇo
sim,sim,sim,talvez
ṇo,sim,ṇo,ṇo
sim,talvez,talvez,ṇo
ṇo,ṇo,sim,talvez
talvez,ṇo,sim,talvez
sim,sim,sim,talvez
sim,sim,talvez,ṇo
sim,ṇo,talvez,talvez
sim,sim,sim,talvez
ṇo,ṇo,talvez,ṇo
sim,talvez,sim,talvez
sim,talvez,sim,ṇo
ṇo,sim,sim,ṇo
sim,sim,sim,talvez
sim,sim,sim,ṇo
ṇo,sim,ṇo,ṇo
sim,ṇo,sim,talvez
sim,ṇo,sim,sim
ṇo,ṇo,sim,talvez
sim,sim,sim,ṇo
talvez,ṇo,sim,ṇo
sim,talvez,sim,talvez
sim,ṇo,sim,ṇo
sim,ṇo,sim,ṇo
talvez,ṇo,sim,talvez
sim,sim,ṇo,ṇo
sim,ṇo,ṇo,ṇo
sim,ṇo,sim,ṇo
ṇo,ṇo,sim,ṇo
ṇo,talvez,sim,talvez
sim,ṇo,sim,ṇo
ṇo,talvez,sim,talvez
sim,talvez,sim,talvez
sim,sim,sim,sim
sim,ṇo,ṇo,ṇo
sim,talvez,ṇo,talvez
sim,sim,sim,ṇo
sim,sim,sim,talvez
ṇo,ṇo,ṇo,ṇo
sim,sim,sim,ṇo
sim,ṇo,sim,talvez
ṇo,sim,ṇo,ṇo
sim,talvez,ṇo,talvez
ṇo,sim,ṇo,talvez
sim,ṇo,sim,talvez
ṇo,ṇo,sim,talvez
sim,ṇo,sim,ṇo
sim,ṇo,sim,talvez
sim,sim,sim,ṇo
sim,ṇo,talvez,sim
sim,ṇo,sim,sim
ṇo,sim,sim,ṇo
sim,sim,sim,talvez
sim,ṇo,sim,talvez
sim,talvez,ṇo,talvez
ṇo,sim,sim,sim
sim,talvez,sim,ṇo
sim,ṇo,sim,talvez
ṇo,sim,sim,ṇo
sim,sim,sim,talvez
ṇo,sim,talvez,talvez
sim,ṇo,ṇo,ṇo
sim,sim,sim,ṇo
ṇo,sim,sim,ṇo
ṇo,sim,talvez,sim
sim,sim,ṇo,talvez
ṇo,sim,ṇo,talvez
talvez,sim,sim,ṇo
talvez,talvez,sim,talvez
ṇo,sim,sim,talvez
sim,sim,sim,talvez
sim,talvez,talvez,talvez
ṇo,sim,sim,talvez
sim,talvez,sim,ṇo
sim,talvez,sim,sim
ṇo,sim,sim,talvez
sim,talvez,sim,sim
sim,sim,sim,talvez
talvez,sim,sim,ṇo
sim,ṇo,ṇo,talvez
sim,ṇo,sim,talvez
ṇo,talvez,sim,talvez
sim,sim,talvez,talvez
sim,talvez,sim,talvez
sim,sim,ṇo,talvez
ṇo,ṇo,sim,sim
sim,ṇo,sim,ṇo
